City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Calmar,CA,2021-07-27 00:49:46,53.2668,-113.8187,80.55,59,20,8.05
273,Uchiza,PE,2021-07-27 00:49:46,-8.4592,-76.4633,72.7,88,95,2.42
274,Daoukro,CI,2021-07-27 00:49:47,7.0591,-3.9631,69.17,98,84,4.18
275,Lamu,KE,2021-07-27 00:49:47,-2.2717,40.902,75.42,81,65,19.39
276,Bang Rakam,TH,2021-07-27 00:49:48,16.7585,100.1174,81.05,100,20,4.61
277,Sabang,ID,2021-07-27 00:49:48,5.8933,95.3214,83.41,76,100,18.88
278,Orthez,FR,2021-07-27 00:49:48,43.4884,-0.7724,63.09,96,100,2.17
279,Ararangua,BR,2021-07-27 00:49:49,-28.9347,-49.4858,66.87,93,100,4.07
280,Callaway,US,2021-07-27 00:49:49,30.153,-85.5699,87.85,71,1,1.99
281,Qianan,CN,2021-07-27 00:49:50,44.9932,124.0581,80.4,74,45,12.71
282,Salisbury,GB,2021-07-27 00:49:50,51.0693,-1.7957,65.64,89,90,4.61
283,Veliki Preslav,BG,2021-07-27 00:49:50,43.1667,26.8167,64.87,60,0,1.88
284,Mackay,AU,2021-07-27 00:49:51,-21.15,149.2,74.68,68,5,9.22
285,Maragogi,BR,2021-07-27 00:49:51,-9.0122,-35.2225,73.45,90,47,8.1
286,Kirkwall,GB,2021-07-27 00:49:51,58.9848,-2.9587,57.54,94,90,8.05
287,Luderitz,NA,2021-07-27 00:49:52,-26.6481,15.1594,59.79,66,0,4.74
288,Broome,US,2021-07-27 00:49:52,42.2506,-75.833,75.78,69,42,1.01
289,Pangai,TO,2021-07-27 00:49:53,-19.8,-174.35,80.71,69,75,2.3
290,Arani,IN,2021-07-27 00:49:53,12.6667,79.2833,79.92,66,98,8.3
291,Northam,GB,2021-07-27 00:45:00,51.0333,-4.2167,65.01,95,100,11.07
292,Kamloops,CA,2021-07-27 00:49:54,50.6665,-120.3192,92.82,30,40,1.01
